Opponent's deck,Player's deck,Crowns taken,Win
"['Princess', 'Goblin Barrel', 'Rocket', 'Valkyrie', 'Inferno Tower', 'Ice Spirit', 'Minions', 'Goblin Gang']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[0, 3]",0
"['Golem', 'Inferno Dragon', 'Arrows', 'Archers', 'Bomber', 'Baby Dragon', 'Rage', 'Spear Goblins']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
"['Balloon', 'Skeletons', 'Golem', 'Sparky', 'Rage', 'Lumberjack', 'Magic Archer', 'Spear Goblins']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
"['Ice Golem', 'Inferno Dragon', 'Dark Prince', 'Goblin Gang', 'Prince', 'Bomber', 'Royal Hogs', 'The Log']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[0, 3]",0
"['Barbarian Barrel', 'Princess', 'Battle Ram', 'Ice Wizard', 'Mini P.E.K.K.A', 'Electro Giant', 'Ram Rider', 'Skeleton King']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
"['Hog Rider', 'Wizard', 'Royal Giant', 'Skeleton Army', 'Mega Knight', 'Graveyard', 'Knight', 'Elixir Golem']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
"['P.E.K.K.A', 'Valkyrie', 'Firecracker', 'Baby Dragon', 'Skeleton Army', 'Royal Hogs', 'Dart Goblin', 'Fireball']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
"['Firecracker', 'Battle Healer', 'Mega Knight', 'Poison', 'Archers', 'Mirror', 'Bats', 'Barbarian Barrel']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[0, 3]",0
"['Knight', 'Skeletons', 'Miner', 'Bomb Tower', 'Poison', 'Ice Spirit', 'Little Prince', 'The Log']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Knight', 'Skeletons', 'The Log', 'Archer Queen', 'Bats', 'Tesla', 'Poison', 'Miner']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Firecracker', 'Knight', 'Hog Rider', 'Earthquake', 'Ice Spirit', 'Skeletons', 'The Log', 'Bomb Tower']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[3, 0]",1
"['Skeletons', 'Ice Spirit', 'Hog Rider', 'The Log', 'Fireball', 'Cannon', 'Musketeer', 'Ice Golem']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Firecracker', 'Knight', 'Skeletons', 'Inferno Tower', 'Hog Rider', 'Electro Spirit', 'Earthquake', 'The Log']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Knight', 'Ice Spirit', 'Firecracker', 'Hog Rider', 'Earthquake', 'The Log', 'Skeletons', 'Tesla']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Firecracker', 'Royal Recruits', 'Musketeer', 'Knight', 'Tesla', 'Mini P.E.K.K.A', 'Hog Rider', 'Dark Prince']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[3, 0]",1
"['Mortar', 'Archers', 'The Log', 'Rocket', 'Ice Spirit', 'Knight', 'Tornado', 'Skeletons']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Barbarians', 'Valkyrie', 'Freeze', 'Dart Goblin', 'Minions', 'Zap', 'Hog Rider', 'The Log']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[2, 0]",1
"['Knight', 'Skeletons', 'The Log', 'Wall Breakers', 'Bomb Tower', 'Miner', 'Magic Archer', 'Tornado']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[3, 0]",1
"['Archers', 'Royal Recruits', 'Balloon', 'Lumberjack', 'Little Prince', 'Fisherman', 'Arrows', 'Giant Snowball']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Firecracker', 'Valkyrie', 'P.E.K.K.A', 'Witch', 'Battle Ram', 'Prince', 'Arrows', 'Dark Prince']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Valkyrie', 'Firecracker', 'Bowler', 'Balloon', 'Electro Dragon', 'Lumberjack', 'Tornado', 'Barbarian Barrel']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[2, 1]",1
"['Goblin Gang', 'Baby Dragon', 'Giant', 'Bowler', 'Mother Witch', 'Goblin Barrel', 'Poison', 'Bomber']","['Tesla', 'Barbarian Barrel', 'Bandit', 'Inferno Dragon', 'Rascals', 'Goblin Drill', 'Flying Machine', 'Spear Goblins']","[1, 0]",1
"['Guards', 'Hog Rider', 'Night Witch', 'Tesla', 'Flying Machine', 'Fisherman', 'Elixir Golem', 'Giant Snowball']","['Zap', 'Rascals', 'Goblin Barrel', 'Witch', 'Ice Spirit', 'Inferno Dragon', 'Three Musketeers', 'Fire Spirit']","[1, 0]",1
"['Giant', 'Cannon Cart', 'Royal Delivery', 'Goblin Drill', 'Fire Spirit', 'Baby Dragon', 'Musketeer', 'Royal Giant']","['Tesla', 'Zappies', 'Magic Archer', 'Electro Spirit', 'Ice Golem', 'Giant Snowball', 'Battle Healer', 'Skeleton Barrel']","[1, 0]",1
"['Skeletons', 'Valkyrie', 'Arrows', 'Cannon', 'Hog Rider', 'Musketeer', 'Miner', 'Princess']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Firecracker', 'Mega Knight', 'Barbarian Barrel', 'Electro Wizard', 'Mini P.E.K.K.A', 'Goblin Gang', 'Fireball', 'Hog Rider']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Baby Dragon', 'Dark Prince', 'Mega Minion', 'Mini P.E.K.K.A', 'Arrows', 'Electro Giant', 'Tornado', 'Lightning']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Firecracker', 'Skeletons', 'The Log', 'Earthquake', 'Tesla', 'Knight', 'Ice Spirit', 'Hog Rider']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[3, 1]",1
"['Royal Recruits', 'Firecracker', 'Fire Spirit', 'The Log', 'Tesla', 'Hog Rider', 'Skeletons', 'Valkyrie']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Firecracker', 'Skeletons', 'Earthquake', 'Mighty Miner', 'Tesla', 'Ice Spirit', 'Hog Rider', 'The Log']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[0, 1]",0
"['Knight', 'Skeleton Army', 'Dart Goblin', 'Goblin Barrel', 'Princess', 'Skeleton Barrel', 'The Log', 'Inferno Tower']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Tesla', 'Goblin Giant', 'Barbarian Barrel', 'Tombstone', 'Zappies', 'Electro Giant', 'Ice Wizard', 'Goblins']","['Electro Spirit', 'Mega Knight', 'Elixir Golem', 'Phoenix', 'Barbarian Hut', 'Rocket', 'Goblin Drill', 'Knight']","[1, 0]",1
"['Barbarians', 'Graveyard', 'Bowler', 'Giant', 'Little Prince', 'Giant Snowball', 'Arrows', 'Minions']","['Skeletons', 'Bats', 'Mother Witch', 'Prince', 'Hog Rider', 'Mega Knight', 'Zap', 'The Log']","[1, 0]",1
"['Bomber', 'Knight', 'Princess', 'Witch', 'Skeleton Army', 'Giant Skeleton', 'Poison', 'Skeleton King']","['Knight', 'Tombstone', 'Baby Dragon', 'Tornado', 'Graveyard', 'Poison', 'Ice Wizard', 'Barbarian Barrel']","[0, 3]",0
"['Knight', 'Tesla', 'Graveyard', 'Bowler', 'Poison', 'Tornado', 'Barbarian Barrel', 'Archers']","['Knight', 'Bomber', 'Phoenix', 'Electro Giant', 'Lightning', 'Bowler', 'Tornado', 'Cannon']","[1, 0]",1
"['Royal Delivery', 'Battle Ram', 'Cannon Cart', 'Goblin Hut', 'Mega Knight', 'Skeleton Dragons', 'Valkyrie', 'Fire Spirit']","['Ice Golem', 'Tesla', 'Electro Wizard', 'Miner', 'Goblin Cage', 'Electro Dragon', 'Goblin Giant', 'Barbarian Barrel']","[3, 0]",1
"['Giant', 'Rage', 'Spear Goblins', 'Ice Wizard', 'Night Witch', 'Knight', 'Prince', 'Elixir Golem']","['Ram Rider', 'Executioner', 'Tesla', 'Lumberjack', 'Zappies', 'Guards', 'Fireball', 'Lava Hound']","[0, 1]",0
"['Firecracker', 'Knight', 'Arrows', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Cannon', 'Little Prince']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Mortar', 'Knight', 'Lightning', 'Barbarian Barrel', 'Phoenix', 'Guards', 'Archers', 'Ice Spirit']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[0, 1]",0
"['Firecracker', 'Electro Spirit', 'Poison', 'Hog Rider', 'Mini P.E.K.K.A', 'Knight', 'The Log', 'Bomb Tower']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[2, 1]",1
"['Wall Breakers', 'Mega Knight', 'Miner', 'Bandit', 'Barbarian Barrel', 'Little Prince', 'Zap', 'Minions']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[2, 1]",1
"['Firecracker', 'Inferno Tower', 'Goblin Barrel', 'Guards', 'Fireball', 'Skeleton Barrel', 'Spear Goblins', 'Bowler']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[1, 0]",1
"['Rascals', 'Arrows', 'Goblin Gang', 'Electro Wizard', 'Bandit', 'Goblin Barrel', 'Ram Rider', 'Knight']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[3, 2]",1
"['Barbarians', 'Inferno Dragon', 'Zap', 'Skeleton Dragons', 'Fireball', 'Miner', 'Balloon', 'Lava Hound']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[2, 1]",1
"['Knight', 'Poison', 'Graveyard', 'Baby Dragon', 'Ice Wizard', 'Barbarian Barrel', 'Tornado', 'Tombstone']","['Bomber', 'Royal Giant', 'Mother Witch', 'Arrows', 'Giant Skeleton', 'Rage', 'Fisherman', 'Little Prince']","[3, 0]",1
"['Archers', 'Knight', 'Electro Giant', 'Inferno Dragon', 'Fireball', 'The Log', 'Tesla', 'Tornado']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[0, 1]",0
"['Firecracker', 'P.E.K.K.A', 'Bandit', 'Bomber', 'Arrows', 'Bats', 'Hog Rider', 'Tesla']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Royal Recruits', 'Arrows', 'Goblin Gang', 'Skeleton Barrel', 'Valkyrie', 'Firecracker', 'Dart Goblin', 'Mirror']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Firecracker', 'Valkyrie', 'Witch', 'The Log', 'Hog Rider', 'Freeze', 'Bats', 'Inferno Tower']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Royal Giant', 'The Log', 'Mega Minion', 'Electro Wizard', 'Giant Skeleton', 'Guards', 'Arrows', 'Magic Archer']","['Skeletons', 'Little Prince', 'Valkyrie', 'Cannon', 'Ice Spirit', 'Earthquake', 'Hog Rider', 'The Log']","[1, 0]",1
"['Firecracker', 'Earthquake', 'Lumberjack', 'Hog Rider', 'P.E.K.K.A', 'Bats', 'Zap', 'Bandit']","['Mortar', 'Bomber', 'Miner', 'Bats', 'Royal Delivery', 'Arrows', 'Skeleton King', 'Goblin Gang']","[0, 3]",0
"['Mirror', 'Furnace', 'Spear Goblins', 'Elixir Golem', 'Cannon', 'Battle Healer', 'Rage', 'Dart Goblin']","['Knight', 'Tombstone', 'Baby Dragon', 'Tornado', 'Graveyard', 'Poison', 'Ice Wizard', 'Barbarian Barrel']","[1, 0]",1
"['Royal Giant', 'Baby Dragon', 'Skeleton Army', 'Mighty Miner', 'Bats', 'Mega Minion', 'Sparky', 'Poison']","['Barbarians', 'Skeleton Dragons', 'Flying Machine', 'Zap', 'Mega Minion', 'Fireball', 'Lava Hound', 'Balloon']","[3, 0]",1
"['Firecracker', 'Knight', 'Tesla', 'Fireball', 'Ice Spirit', 'Skeletons', 'X-Bow', 'The Log']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Skeleton Army', 'Tesla', 'Rage', 'Knight', 'Valkyrie', 'Balloon', 'Arrows', 'Prince']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Bats', 'Spear Goblins', 'Skeleton Army', 'Zap', 'Rage', 'Prince', 'Tornado', 'Dark Prince']","['Knight', 'Graveyard', 'Ice Wizard', 'Baby Dragon', 'Barbarian Barrel', 'Poison', 'Tornado', 'Tombstone']","[1, 0]",1
"['Firecracker', 'Mega Knight', 'The Log', 'Mother Witch', 'Tesla', 'Magic Archer', 'Elite Barbarians', 'Rage']","['Skeletons', 'Cannon', 'Ice Spirit', 'Bats', 'Miner', 'Fireball', 'Royal Delivery', 'Electro Spirit']","[1, 0]",1
"['Firecracker', 'Ice Wizard', 'Mega Knight', 'Elite Barbarians', 'The Log', 'Inferno Dragon', 'Tesla', 'Electro Wizard']","['Skeletons', 'Fire Spirit', 'Ice Spirit', 'Bats', 'Mirror', 'Giant Snowball', 'Ice Golem', 'Electro Spirit']","[0, 1]",0
"['Electro Giant', 'P.E.K.K.A', 'Elite Barbarians', 'Sparky', 'Arrows', 'Barbarians', 'Minions', 'Minion Horde']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[0, 3]",0
"['Balloon', 'Mini P.E.K.K.A', 'Three Musketeers', 'Goblin Hut', 'Dart Goblin', 'Night Witch', 'Fisherman', 'Royal Hogs']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[3, 0]",1
"['Hog Rider', 'Prince', 'Baby Dragon', 'Electro Wizard', 'Zap', 'Inferno Tower', 'Skeleton Army', 'Mother Witch']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[0, 3]",0
"['Inferno Dragon', 'Valkyrie', 'Mega Knight', 'Goblin Barrel', 'Princess', 'Witch', 'Bats', 'Bandit']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[0, 3]",0
"['Barbarians', 'Archer Queen', 'Goblin Barrel', 'Tornado', 'Electro Giant', 'Ram Rider', 'Skeleton Army', 'Miner']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[0, 3]",0
"['Elixir Collector', 'Rage', 'Heal Spirit', 'Fire Spirit', 'Electro Spirit', 'Inferno Dragon', 'Elixir Golem', 'Mirror']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[3, 0]",1
"['Sparky', 'Golem', 'Executioner', 'Goblin Gang', 'Tombstone', 'Poison', 'Zap', 'Skeletons']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[3, 0]",1
"['Giant Skeleton', 'Poison', 'Skeleton Army', 'Mother Witch', 'Prince', 'Wizard', 'Knight', 'Clone']","['Barbarians', 'Bowler', 'Baby Dragon', 'Ice Spirit', 'Skeleton King', 'Firecracker', 'Knight', 'Hog Rider', 'Little Prince', 'Skeleton Dragons', 'Valkyrie', 'Balloon']","[0, 3]",0
